renda,limite,pontuacao,cartoes,idade,escolaridade,imovel_proprio,estudante,casado,regiao,saldo
16.482,3326,268,4,41,15,não,não,não,Sul,271
40.442,4828,369,5,81,8,sim,não,não,Leste,510
35.177,2117,186,3,62,16,sim,não,não,Sul,0
91.362,9113,626,1,47,17,não,não,sim,Oeste,1341
27.039,2161,173,3,40,17,sim,não,não,Sul,0
23.012,1410,137,3,81,16,não,não,não,Sul,0
27.241,1402,128,2,67,15,sim,não,sim,Oeste,0
148.08,8157,599,2,83,13,não,não,sim,Sul,454
62.602,7056,481,1,84,11,sim,não,não,Sul,904
11.808,1300,117,3,77,14,sim,não,não,Leste,0
29.564,2529,192,1,30,12,sim,não,sim,Sul,0
27.578,2531,195,1,34,15,sim,não,sim,Sul,0
26.427,5533,433,5,50,15,sim,sim,sim,Oeste,1404
57.202,3411,259,3,72,11,sim,não,não,Sul,0
123.299,8376,610,2,89,17,não,sim,não,Leste,1259
18.145,3461,279,3,56,15,não,não,sim,Leste,255
23.793,3821,281,4,56,12,sim,sim,sim,Leste,868
10.726,1568,162,5,46,19,não,não,sim,Oeste,0
23.283,5443,407,4,49,13,não,não,sim,Leste,912
21.455,5829,427,4,80,12,sim,não,sim,Leste,1018
34.664,5835,452,3,77,15,sim,não,sim,Leste,835
44.473,3500,257,3,81,16,sim,não,não,Leste,8
54.663,4116,314,2,70,8,sim,não,não,Leste,75
36.355,3613,278,4,35,9,não,não,sim,Oeste,187
21.374,2073,175,2,74,11,sim,não,sim,Sul,0
107.841,10384,728,3,87,7,não,não,não,Leste,1597
39.831,6045,459,3,32,12,sim,sim,sim,Leste,1425
91.876,6754,483,2,33,10,não,não,sim,Sul,605
103.893,7416,549,3,84,17,não,não,não,Oeste,669
19.636,4896,387,3,64,10,sim,não,não,Leste,710
17.392,2748,228,3,32,14,não,não,sim,Sul,68
19.529,4673,341,2,51,14,não,não,não,Oeste,642
17.055,5110,371,3,55,15,sim,não,sim,Sul,805
23.857,1501,150,3,56,16,não,não,sim,Sul,0
15.184,2420,192,2,69,11,sim,não,sim,Sul,0
13.444,886,121,5,44,10,não,não,sim,Oeste,0
63.931,5728,435,3,28,14,sim,não,sim,Leste,581
35.864,4831,353,3,66,13,sim,não,sim,Sul,534
41.419,2120,184,4,24,11,sim,sim,não,Sul,156
92.112,4612,344,3,32,17,não,não,não,Sul,0
55.056,3155,235,2,31,16,não,não,sim,Leste,0
19.537,1362,143,4,34,9,sim,não,sim,Oeste,0
31.811,4284,338,5,75,13,sim,não,sim,Sul,429
56.256,5521,406,2,72,16,sim,sim,sim,Sul,1020
42.357,5550,406,2,83,12,sim,não,sim,Oeste,653
53.319,3000,235,3,53,13,não,não,não,Oeste,0
12.238,4865,381,5,67,11,sim,não,não,Sul,836
31.353,1705,160,3,81,14,não,não,sim,Sul,0
63.809,7530,515,1,56,12,não,não,sim,Sul,1086
13.676,2330,203,5,80,16,sim,não,não,Leste,0
76.782,5977,429,4,44,12,não,não,sim,Oeste,548
25.383,4527,367,4,46,11,não,não,sim,Sul,570
35.691,2880,214,2,35,15,não,não,não,Leste,0
29.403,2327,178,1,37,14,sim,não,sim,Sul,0
27.47,2820,219,1,32,11,sim,não,sim,Oeste,0
27.33,6179,459,4,36,12,sim,não,sim,Sul,1099
34.772,2021,167,3,57,9,não,não,não,Oeste,0
36.934,4270,299,1,63,9,sim,não,sim,Sul,283
76.348,4697,344,4,60,18,não,não,não,Oeste,108
14.887,4745,339,3,58,12,não,não,sim,Leste,724
121.834,10673,750,3,54,16,não,não,não,Leste,1573
30.132,2168,206,3,52,17,não,não,não,Sul,0
24.05,2607,221,4,32,18,não,não,sim,Sul,0
22.379,3965,292,2,34,14,sim,não,sim,Oeste,384
28.316,4391,316,2,29,10,sim,não,não,Sul,453
58.026,7499,560,5,67,11,sim,não,não,Sul,1237
10.635,3584,294,5,69,16,não,não,sim,Oeste,423
46.102,5180,382,3,81,12,não,não,sim,Leste,516
58.929,6420,459,2,66,9,sim,não,sim,Leste,789
80.861,4090,335,3,29,15,sim,não,sim,Oeste,0
158.889,11589,805,1,62,17,sim,não,sim,Sul,1448
30.42,4442,316,1,30,14,sim,não,não,Leste,450
36.472,3806,309,2,52,13,não,não,não,Leste,188
23.365,2179,167,2,75,15,não,não,não,Oeste,0
83.869,7667,554,2,83,11,não,não,não,Leste,930
58.351,4411,326,2,85,16,sim,não,sim,Sul,126
55.187,5352,385,4,50,17,sim,não,sim,Sul,538
124.29,9560,701,3,52,17,sim,sim,não,Oeste,1687
28.508,3933,287,4,56,14,não,não,sim,Oeste,336
130.209,10088,730,7,39,19,sim,não,sim,Sul,1426
30.406,2120,181,2,79,14,não,não,sim,Leste,0
23.883,5384,398,2,73,16,sim,não,sim,Leste,802
93.039,7398,517,1,67,12,não,não,sim,Leste,749
50.699,3977,304,2,84,17,sim,não,não,Leste,69
27.349,2000,169,4,51,16,sim,não,sim,Leste,0
10.403,4159,310,3,43,7,não,não,sim,Oeste,571
23.949,5343,383,2,40,18,não,não,sim,Leste,829
73.914,7333,529,6,67,15,sim,não,sim,Sul,1048
21.038,1448,145,2,58,13,sim,não,sim,Sul,0
68.206,6784,499,5,40,16,sim,sim,não,Leste,1411
57.337,5310,392,2,45,7,sim,não,não,Sul,456
10.793,3878,321,8,29,13,não,não,não,Sul,638
23.45,2450,180,2,78,13,não,não,não,Sul,0
10.842,4391,358,5,37,10,sim,sim,sim,Sul,1216
51.345,4327,320,3,46,15,não,não,não,Leste,230
151.947,9156,642,2,91,11,sim,não,sim,Leste,732
24.543,3206,243,2,62,12,sim,não,sim,Sul,95
29.567,5309,397,3,25,15,não,não,não,Sul,799
39.145,4351,323,2,66,13,não,não,sim,Sul,308
39.422,5245,383,2,44,19,não,não,não,Leste,637
34.909,5289,410,2,62,16,sim,não,sim,Sul,681
41.025,4229,337,3,79,19,sim,não,sim,Sul,246
15.476,2762,215,3,60,18,não,não,não,Oeste,52
12.456,5395,392,3,65,14,não,não,sim,Sul,955
10.627,1647,149,2,71,10,sim,sim,sim,Oeste,195
38.954,5222,370,4,76,13,sim,não,não,Sul,653
44.847,5765,437,3,53,13,sim,sim,não,Oeste,1246
98.515,8760,633,5,78,11,sim,não,não,Leste,1230
33.437,6207,451,4,44,9,não,sim,não,Sul,1549
27.512,4613,344,5,72,17,não,não,sim,Oeste,573
121.709,7818,584,4,50,6,não,não,sim,Sul,701
15.079,5673,411,4,28,15,sim,não,sim,Oeste,1075
59.879,6906,527,6,78,15,sim,não,não,Sul,1032
66.989,5614,430,3,47,14,sim,não,sim,Sul,482
69.165,4668,341,2,34,11,sim,não,não,Leste,156
69.943,7555,547,3,76,9,não,não,sim,Oeste,1058
33.214,5137,387,3,59,9,não,não,não,Leste,661
25.124,4776,378,4,29,12,não,não,sim,Sul,657
15.741,4788,360,1,39,14,não,não,sim,Oeste,689
11.603,2278,187,3,71,11,não,não,sim,Sul,0
69.656,8244,579,3,41,14,não,não,sim,Leste,1329
10.503,2923,232,3,25,18,sim,não,sim,Leste,191
42.529,4986,369,2,37,11,não,não,sim,Oeste,489
60.579,5149,388,5,38,15,não,não,sim,Oeste,443
26.532,2910,236,6,58,19,sim,não,sim,Sul,52
27.952,3557,263,1,35,13,sim,não,sim,Oeste,163
29.705,3351,262,5,71,14,sim,não,sim,Oeste,148
15.602,906,103,2,36,11,não,não,sim,Leste,0
20.918,1233,128,3,47,18,sim,sim,sim,Oeste,16
58.165,6617,460,1,56,12,sim,não,sim,Sul,856
22.561,1787,147,4,66,15,sim,não,não,Sul,0
34.509,2001,189,5,80,18,sim,não,sim,Leste,0
19.588,3211,265,4,59,14,sim,não,não,Oeste,199
36.364,2220,188,3,50,19,não,não,não,Sul,0
15.717,905,93,1,38,16,não,sim,sim,Sul,0
22.574,1551,134,3,43,13,sim,sim,sim,Sul,98
10.363,2430,191,2,47,18,sim,não,sim,Oeste,0
28.474,3202,267,5,66,12,não,não,sim,Sul,132
72.945,8603,621,3,64,8,sim,não,não,Sul,1355
85.425,5182,402,6,60,12,não,não,sim,Leste,218
36.508,6386,469,4,79,6,sim,não,sim,Sul,1048
58.063,4221,304,3,50,8,não,não,não,Leste,118
25.936,1774,135,2,71,14,sim,não,não,Oeste,0
15.629,2493,186,1,60,14,não,não,sim,Oeste,0
41.4,2561,215,2,36,14,não,não,sim,Sul,0
33.657,6196,450,6,55,9,sim,não,não,Sul,1092
67.937,5184,383,4,63,12,não,não,sim,Oeste,345
180.379,9310,665,3,67,8,sim,sim,sim,Oeste,1050
10.588,4049,296,1,66,13,sim,não,sim,Sul,465
29.725,3536,270,2,52,15,sim,não,não,Leste,133
27.999,5107,380,1,55,10,não,não,sim,Sul,651
40.885,5013,379,3,46,13,sim,não,sim,Leste,549
88.83,4952,360,4,86,16,sim,não,sim,Sul,15
29.638,5833,433,3,29,15,sim,não,sim,Oeste,942
25.988,1349,142,4,82,12,não,não,não,Sul,0
39.055,5565,410,4,48,18,sim,não,sim,Sul,772
15.866,3085,217,1,39,13,não,não,não,Sul,136
44.978,4866,347,1,30,10,sim,não,não,Sul,436
30.413,3690,299,2,25,15,sim,sim,não,Oeste,728
16.751,4706,353,6,48,14,não,sim,não,Oeste,1255
30.55,5869,439,5,81,9,sim,não,não,Leste,967
163.329,8732,636,3,50,14,não,não,sim,Sul,529
23.106,3476,257,2,50,15,sim,não,não,Sul,209
41.532,5000,353,2,50,12,não,não,sim,Sul,531
128.04,6982,518,2,78,11,sim,não,sim,Sul,250
54.319,3063,248,3,59,8,sim,sim,não,Sul,269
53.401,5319,377,3,35,12,sim,não,não,Leste,541
36.142,1852,183,3,33,13,sim,não,não,Leste,0
63.534,8100,581,2,50,17,sim,não,sim,Sul,1298
49.927,6396,485,3,75,17,sim,não,sim,Sul,890
14.711,2047,167,2,67,6,não,não,sim,Sul,0
18.967,1626,156,2,41,11,sim,não,sim,Oeste,0
18.036,1552,142,2,48,15,sim,não,não,Sul,0
60.449,3098,272,4,69,8,não,não,sim,Sul,0
16.711,5274,387,3,42,16,sim,não,sim,Oeste,863
10.852,3907,296,2,30,9,não,não,não,Sul,485
26.37,3235,268,5,78,11,não,não,sim,Oeste,159
24.088,3665,287,4,56,13,sim,não,sim,Sul,309
51.532,5096,380,2,31,15,não,não,sim,Sul,481
140.672,11200,817,7,46,9,não,não,sim,Leste,1677
42.915,2532,205,4,42,13,não,não,sim,Oeste,0
27.272,1389,149,5,67,10,sim,não,sim,Sul,0
65.896,5140,370,1,49,17,sim,não,sim,Sul,293
55.054,4381,321,3,74,17,não,não,sim,Oeste,188
20.791,2672,204,1,70,18,sim,não,não,Leste,0
24.919,5051,372,3,76,11,sim,não,sim,Leste,711
21.786,4632,355,1,50,17,não,não,sim,Sul,580
31.335,3526,289,3,38,7,sim,não,não,Sul,172
59.855,4964,365,1,46,13,sim,não,sim,Sul,295
44.061,4970,352,1,79,11,não,não,sim,Leste,414
82.706,7506,536,2,64,13,sim,não,sim,Oeste,905
24.46,1924,165,2,50,14,sim,não,sim,Oeste,0
45.12,3762,287,3,80,8,não,não,sim,Sul,70
75.406,3874,298,3,41,14,sim,não,sim,Oeste,0
14.956,4640,332,2,33,6,não,não,não,Oeste,681
75.257,7010,494,3,34,18,sim,não,sim,Sul,885
33.694,4891,369,1,52,16,não,sim,não,Leste,1036
23.375,5429,396,3,57,15,sim,não,sim,Sul,844
27.825,5227,386,6,63,11,não,não,sim,Sul,823
92.386,7685,534,2,75,18,sim,não,sim,Oeste,843
115.52,9272,656,2,69,14,não,não,não,Leste,1140
14.479,3907,296,3,43,16,não,não,sim,Sul,463
52.179,7306,522,2,57,14,não,não,não,Oeste,1142
68.462,4712,340,2,71,16,não,não,sim,Sul,136
18.951,1485,129,3,82,13,sim,não,não,Sul,0
27.59,2586,229,5,54,16,não,não,sim,Leste,0
16.279,1160,126,3,78,13,não,sim,sim,Leste,5
25.078,3096,236,2,27,15,sim,não,sim,Sul,81
27.229,3484,282,6,51,11,não,não,não,Sul,265
182.728,13913,982,4,98,17,não,não,sim,Sul,1999
31.029,2863,223,2,66,17,não,sim,sim,Oeste,415
17.765,5072,364,1,66,12,sim,não,sim,Sul,732
125.48,10230,721,3,82,16,não,não,sim,Sul,1361
49.166,6662,508,3,68,14,sim,não,não,Oeste,984
41.192,3673,297,3,54,16,sim,não,sim,Sul,121
94.193,7576,527,2,44,16,sim,não,sim,Sul,846
20.405,4543,329,2,72,17,não,sim,não,Oeste,1054
12.581,3976,291,2,48,16,não,não,sim,Sul,474
62.328,5228,377,3,83,15,não,não,não,Sul,380
21.011,3402,261,2,68,17,não,não,sim,Leste,182
24.23,4756,351,2,64,15,sim,não,sim,Sul,594
24.314,3409,270,2,23,7,sim,não,sim,Sul,194
32.856,5884,438,4,68,13,não,não,não,Sul,926
12.414,855,119,3,32,12,não,não,sim,Leste,0
41.365,5303,377,1,45,14,não,não,não,Sul,606
149.316,10278,707,1,80,16,não,não,não,Leste,1107
27.794,3807,301,4,35,8,sim,não,sim,Leste,320
13.234,3922,299,2,77,17,sim,não,sim,Sul,426
14.595,2955,260,5,37,9,não,não,sim,Leste,204
10.735,3746,280,2,44,17,sim,não,sim,Sul,410
48.218,5199,401,7,39,10,não,não,sim,Oeste,633
30.012,1511,137,2,33,17,não,não,sim,Sul,0
21.551,5380,420,5,51,18,não,não,sim,Oeste,907
160.231,10748,754,2,69,17,não,não,não,Sul,1192
13.433,1134,112,3,70,14,não,não,sim,Sul,0
48.577,5145,389,3,71,13,sim,não,sim,Oeste,503
30.002,1561,155,4,70,13,sim,não,sim,Sul,0
61.62,5140,374,1,71,9,não,não,sim,Sul,302
104.483,7140,507,2,41,14,não,não,sim,Leste,583
41.868,4716,342,2,47,18,não,não,não,Sul,425
12.068,3873,292,1,44,18,sim,não,sim,Oeste,413
180.682,11966,832,2,58,8,sim,não,sim,Leste,1405
34.48,6090,442,3,36,14,não,não,não,Sul,962
39.609,2539,188,1,40,14,não,não,sim,Oeste,0
30.111,4336,339,1,81,18,não,não,sim,Sul,347
12.335,4471,344,3,79,12,não,não,sim,Leste,611
53.566,5891,434,4,82,10,sim,não,não,Sul,712
53.217,4943,362,2,46,16,sim,não,sim,Oeste,382
26.162,5101,382,3,62,19,sim,não,não,Leste,710
64.173,6127,433,1,80,10,não,não,sim,Sul,578
128.669,9824,685,3,67,16,não,não,sim,Oeste,1243
113.772,6442,489,4,69,15,não,sim,sim,Sul,790
61.069,7871,564,3,56,14,não,não,sim,Sul,1264
23.793,3615,263,2,70,14,não,não,não,Leste,216
89.0,5759,440,3,37,6,sim,não,não,Sul,345
71.682,8028,599,3,57,16,não,não,sim,Sul,1208
35.61,6135,466,4,40,12,não,não,não,Sul,992
39.116,2150,173,4,75,15,não,não,não,Sul,0
19.782,3782,293,2,46,16,sim,sim,não,Sul,840
55.412,5354,383,2,37,16,sim,sim,sim,Sul,1003
29.4,4840,368,3,76,18,sim,não,sim,Sul,588
20.974,5673,413,5,44,16,sim,não,sim,Sul,1000
87.625,7167,515,2,46,10,sim,não,não,Leste,767
28.144,1567,142,3,51,10,não,não,sim,Sul,0
19.349,4941,366,1,33,19,não,não,sim,Sul,717
53.308,2860,214,1,84,10,não,não,sim,Sul,0
115.123,7760,538,3,83,14,sim,não,não,Leste,661
101.788,8029,574,2,84,11,não,não,sim,Sul,849
24.824,5495,409,1,33,9,não,sim,não,Sul,1352
14.292,3274,282,9,64,9,não,não,sim,Sul,382
20.088,1870,180,3,76,16,não,não,não,Leste,0
26.4,5640,398,3,58,15,sim,não,não,Oeste,905
19.253,3683,287,4,57,10,não,não,não,Leste,371
16.529,1357,126,3,62,9,não,não,não,Oeste,0
37.878,6827,482,2,80,13,sim,não,não,Sul,1129
83.948,7100,503,2,44,18,não,não,não,Sul,806
135.118,10578,747,3,81,15,sim,não,sim,Oeste,1393
73.327,6555,472,2,43,15,sim,não,não,Sul,721
25.974,2308,196,2,24,10,não,não,não,Oeste,0
17.316,1335,138,2,65,13,não,não,não,Leste,0
49.794,5758,410,4,40,8,não,não,não,Sul,734
12.096,4100,307,3,32,13,não,não,sim,Sul,560
13.364,3838,296,5,65,17,não,não,não,Leste,480
57.872,4171,321,5,67,12,sim,não,sim,Sul,138
37.728,2525,192,1,44,13,não,não,sim,Sul,0
18.701,5524,415,5,64,7,sim,não,não,Oeste,966
